00401000 | GetStdHandle
00401010 | GetConsoleMode
00401020 | TlsGetValue
00401030 | GetLastError
00401040 | SetLastError
00401050 | RaiseException
00401060 | GetTickCount
00401070 | ExitProcess
004010a0 | GetCurrentProcessId
004010b0 | GetCurrentThreadId
004010c0 | GetCurrentProcess
004010d0 | ReadProcessMemory
004010f0 | GetModuleHandleA
00401100 | WriteFile
00401110 | ReadFile
00401120 | CloseHandle
00401130 | SetFilePointer
00401140 | GetFileSize
00401150 | SetEndOfFile
00401160 | GetSystemInfo
00401170 | LoadLibraryW
00401180 | LoadLibraryA
00401190 | GetProcAddress
004011a0 | FreeLibrary
004011b0 | FormatMessageW
004011c0 | DeleteFileW
004011d0 | MoveFileW
004011e0 | CreateFileW
004011f0 | GetFileAttributesW
00401200 | CreateDirectoryW
00401220 | SetCurrentDirectoryW
00401230 | GetCurrentDirectoryW
00401240 | GetFullPathNameW
00401250 | GetConsoleOutputCP
00401260 | GetOEMCP
00401270 | GetProcessHeap
00401280 | HeapAlloc
00401290 | HeapFree
004012a0 | TlsAlloc
004012b0 | TlsSetValue
004012c0 | CreateThread
004012d0 | ExitThread
004012e0 | LocalAlloc
004012f0 | LocalFree
00401300 | Sleep
00401310 | SuspendThread
00401320 | ResumeThread
00401330 | TerminateThread
00401340 | WaitForSingleObject
00401350 | SetThreadPriority
00401360 | GetThreadPriority
00401370 | GetCurrentThread
00401380 | OpenThread
00401390 | IsDebuggerPresent
004013a0 | CreateEventA
004013b0 | ResetEvent
004013c0 | SetEvent
004013d0 | InitializeCriticalSection
004013e0 | DeleteCriticalSection
004013f0 | EnterCriticalSection
00401400 | LeaveCriticalSection
00401410 | TryEnterCriticalSection
00401420 | GetEnvironmentStringsW
00401430 | FreeEnvironmentStringsW
00401440 | MultiByteToWideChar
00401450 | WideCharToMultiByte
00401460 | GetACP
00401480 | RtlUnwind
00401490 | EnumResourceTypesA
004014a0 | EnumResourceNamesA
004014b0 | EnumResourceLanguagesA
004014c0 | FindResourceA
004014d0 | FindResourceExA
004014e0 | LoadResource
004014f0 | SizeofResource
00401500 | LockResource
00401510 | FreeResource
00401520 | GetEnvironmentStringsA
00401530 | FreeEnvironmentStringsA
00401540 | FormatMessageA
00401570 | GetLogicalDriveStringsA
00401580 | LoadLibraryExA
00401590 | GlobalAddAtomA
004015a0 | GetWindowsDirectoryA
004015b0 | GetVersionExA
004015c0 | CompareStringA
004015d0 | GetLocaleInfoA
004015e0 | GetDateFormatA
004015f0 | EnumCalendarInfoA
00401600 | GetShortPathNameW
00401610 | GetModuleFileNameW
00401620 | GetCommandLineW
00401630 | GetTempPathW
00401640 | SetFileAttributesW
00401650 | CreateProcessW
00401660 | FindNextFileW
00401670 | CompareStringW
00401680 | GetLocaleInfoW
00401690 | GetDateFormatW
004016a0 | GetStringTypeExW
004016b0 | FindFirstFileExW
004016c0 | GlobalAlloc
004016d0 | GlobalReAlloc
004016e0 | GlobalSize
004016f0 | GlobalLock
00401700 | GlobalUnlock
00401710 | VirtualFree
00401720 | TerminateProcess
00401730 | GetExitCodeProcess
00401740 | GetExitCodeThread
00401750 | SetErrorMode
00401760 | GlobalDeleteAtom
00401770 | DeviceIoControl
00401780 | FindClose
00401790 | GetFileTime
004017a0 | SetFileTime
004017b0 | DuplicateHandle
004017c0 | MulDiv
004017d0 | GetSystemTime
004017e0 | GetLocalTime
004017f0 | SystemTimeToTzSpecificLocalTime
00401800 | GetTimeZoneInformation
00401810 | SystemTimeToFileTime
00401820 | FileTimeToLocalFileTime
00401830 | LocalFileTimeToFileTime
00401840 | FileTimeToSystemTime
00401850 | FileTimeToDosDateTime
00401860 | DosDateTimeToFileTime
00401870 | CreatePipe
00401880 | PeekNamedPipe
00401890 | QueryPerformanceCounter
004018a0 | GetCPInfo
004018b0 | GetThreadLocale
004018c0 | SetThreadLocale
004018d0 | GetUserDefaultLCID
004018e0 | SysAllocStringLen
004018f0 | SysFreeString
00401900 | SysReAllocStringLen
00401910 | VariantChangeTypeEx
00401920 | VariantClear
00401930 | VariantCopy
00401940 | VariantInit
00401950 | SafeArrayAccessData
00401960 | SafeArrayCreate
00401970 | SafeArrayGetElement
00401980 | SafeArrayGetLBound
00401990 | SafeArrayGetUBound
004019a0 | SafeArrayPtrOfIndex
004019b0 | SafeArrayPutElement
004019c0 | SafeArrayRedim
004019d0 | SafeArrayUnaccessData
004019e0 | MessageBoxA
00401a10 | PeekMessageA
00401a20 | SendMessageA
00401a30 | PostMessageA
00401a40 | DefWindowProcA
00401a50 | CallWindowProcA
00401a60 | RegisterClassA
00401a70 | UnregisterClassA
00401a80 | GetClassInfoA
00401a90 | CreateWindowExA
00401aa0 | RegisterClipboardFormatA
00401ab0 | GetClipboardFormatNameA
00401ac0 | CharToOemA
00401ad0 | OemToCharA
00401ae0 | CharUpperA
00401af0 | CharUpperBuffA
00401b00 | CharLowerA
00401b10 | CharLowerBuffA
00401b20 | MapVirtualKeyA
00401b30 | GetMenuItemInfoA
00401b40 | SetPropA
00401b50 | GetPropA
00401b60 | RemovePropA
00401b70 | EnumPropsA
00401b80 | SetWindowTextA
00401b90 | GetWindowLongA
00401ba0 | GetClassLongA
00401bb0 | SetClassLongA
00401bd0 | GetClassNameA
00401be0 | LoadBitmapA
00401bf0 | LoadCursorA
00401c00 | LoadIconA
00401c10 | LoadImageA
00401c20 | SystemParametersInfoA
00401c30 | DispatchMessageW
00401c40 | PeekMessageW
00401c50 | SendMessageW
00401c60 | PostMessageW
00401c70 | DefWindowProcW
00401c80 | CallWindowProcW
00401c90 | RegisterClassW
00401ca0 | UnregisterClassW
00401cb0 | GetClassInfoW
00401cc0 | CreateWindowExW
00401cd0 | InsertMenuItemW
00401ce0 | GetMenuItemInfoW
00401cf0 | SetMenuItemInfoW
00401d00 | DrawTextW
00401d10 | DrawStateW
00401d20 | SetWindowTextW
00401d30 | GetWindowTextW
00401d40 | GetWindowTextLengthW
00401d50 | MessageBoxW
00401d60 | GetWindowLongW
00401d70 | SetWindowLongW
00401d80 | DefFrameProcW
00401d90 | DefMDIChildProcW
00401da0 | GetKeyboardLayout
00401db0 | TranslateMessage
00401dc0 | PostQuitMessage
00401dd0 | GetDoubleClickTime
00401de0 | IsWindow
00401df0 | IsMenu
00401e00 | DestroyWindow
00401e10 | ShowWindow
00401e30 | MoveWindow
00401e40 | SetWindowPos
00401e50 | GetWindowPlacement
00401e60 | SetWindowPlacement
00401e70 | BeginDeferWindowPos
00401e80 | DeferWindowPos
00401e90 | EndDeferWindowPos
00401ea0 | IsWindowVisible
00401eb0 | IsIconic
00401ec0 | BringWindowToTop
00401ed0 | IsZoomed
00401ee0 | OpenClipboard
00401ef0 | CloseClipboard
00401f00 | SetClipboardData
00401f10 | GetClipboardData
00401f20 | CountClipboardFormats
00401f30 | EnumClipboardFormats
00401f40 | EmptyClipboard
00401f50 | IsClipboardFormatAvailable
00401f60 | SetFocus
00401f70 | GetActiveWindow
00401f80 | GetFocus
00401f90 | GetKeyState
00401fc0 | keybd_event
00401fd0 | GetCapture
00401fe0 | SetCapture
00401ff0 | ReleaseCapture
00402000 | MsgWaitForMultipleObjects
00402010 | SetTimer
00402020 | KillTimer
00402030 | EnableWindow
00402040 | IsWindowEnabled
00402050 | GetSystemMetrics
00402060 | GetMenu
00402070 | SetMenu
00402080 | DrawMenuBar
00402090 | GetSystemMenu
004020a0 | CreateMenu
004020b0 | CreatePopupMenu
004020c0 | DestroyMenu
004020d0 | EnableMenuItem
004020e0 | GetSubMenu
004020f0 | GetMenuItemCount
00402100 | RemoveMenu
00402110 | DeleteMenu
00402120 | GetMenuItemRect
00402130 | UpdateWindow
00402140 | SetActiveWindow
00402150 | GetForegroundWindow
00402160 | SetForegroundWindow
00402170 | WindowFromDC
00402180 | GetDC
00402190 | GetDCEx
004021a0 | GetWindowDC
004021b0 | ReleaseDC
004021c0 | BeginPaint
004021d0 | EndPaint
004021e0 | GetUpdateRect
004021f0 | SetWindowRgn
00402200 | InvalidateRect
00402210 | InvalidateRgn
00402220 | RedrawWindow
00402230 | LockWindowUpdate
00402240 | ScrollWindow
00402250 | ScrollDC
00402260 | ScrollWindowEx
00402270 | ShowScrollBar
00402280 | EnableScrollBar
00402290 | GetClientRect
004022a0 | GetWindowRect
004022b0 | AdjustWindowRectEx
004022c0 | MessageBeep
004022d0 | SetCursorPos
004022e0 | SetCursor
004022f0 | GetCursorPos
00402300 | CreateCaret
00402310 | GetCaretBlinkTime
00402320 | DestroyCaret
00402330 | HideCaret
00402340 | ShowCaret
00402350 | SetCaretPos
00402360 | GetCaretPos
00402370 | ClientToScreen
00402380 | ScreenToClient
00402390 | MapWindowPoints
004023a0 | WindowFromPoint
004023b0 | GetSysColor
004023c0 | GetSysColorBrush
004023d0 | SetSysColors
004023e0 | DrawFocusRect
004023f0 | FillRect
00402400 | FrameRect
00402410 | SetRect
00402420 | InflateRect
00402430 | IntersectRect
00402440 | SubtractRect
00402450 | OffsetRect
00402460 | GetDesktopWindow
00402470 | GetParent
00402480 | SetParent
00402490 | EnumThreadWindows
004024a0 | GetTopWindow
004024b0 | GetWindowThreadProcessId
004024c0 | GetLastActivePopup
004024d0 | GetWindow
004024e0 | CallNextHookEx
004024f0 | DestroyCursor
00402500 | DestroyIcon
00402510 | CopyImage
00402520 | CreateIconIndirect
00402530 | GetIconInfo
00402540 | SetScrollInfo
00402550 | GetScrollInfo
00402560 | TranslateMDISysAccel
00402570 | DrawEdge
00402580 | DrawFrameControl
00402590 | TrackPopupMenuEx
004025a0 | ChildWindowFromPointEx
004025b0 | DrawIconEx
004025c0 | FlashWindowEx
004025d0 | CoTaskMemFree
004025e0 | OleInitialize
004025f0 | OleUninitialize
00402600 | RegisterDragDrop
00402610 | RevokeDragDrop
00402620 | DoDragDrop
00402630 | OleSetClipboard
00402640 | OleGetClipboard
00402650 | ReleaseStgMedium
00402660 | CreateStreamOnHGlobal
00402670 | CoUninitialize
00402680 | CoCreateInstance
00402690 | CoInitialize
004026a0 | CoTaskMemAlloc
004026b0 | CreateDataAdviseHolder
004026c0 | StgOpenStorage
004026d0 | StgIsStorageFile
004026e0 | GetErrorInfo
004026f0 | StrCmpLogicalW
00402700 | RegQueryInfoKeyA
00402710 | RegSetValueExW
00402720 | RegQueryValueExW
00402730 | RegCreateKeyExW
00402740 | RegDeleteKeyW
00402750 | RegEnumKeyExW
00402760 | RegOpenKeyExW
00402770 | RegCloseKey
00402780 | RegFlushKey
