EXTERNAL:00000001 | Function | GetStdHandle
EXTERNAL:00000002 | Function | GetConsoleMode
EXTERNAL:00000003 | Function | TlsGetValue
EXTERNAL:00000004 | Function | GetLastError
EXTERNAL:00000005 | Function | SetLastError
EXTERNAL:00000006 | Function | RaiseException
EXTERNAL:00000007 | Function | GetTickCount
EXTERNAL:00000008 | Function | ExitProcess
EXTERNAL:00000009 | Function | GetStartupInfoA
EXTERNAL:0000000a | Function | GetCommandLineA
EXTERNAL:0000000b | Function | GetCurrentProcessId
EXTERNAL:0000000c | Function | GetCurrentThreadId
EXTERNAL:0000000d | Function | GetCurrentProcess
EXTERNAL:0000000e | Function | ReadProcessMemory
EXTERNAL:0000000f | Function | GetModuleFileNameA
EXTERNAL:00000010 | Function | GetModuleHandleA
EXTERNAL:00000011 | Function | WriteFile
EXTERNAL:00000012 | Function | ReadFile
EXTERNAL:00000013 | Function | CloseHandle
EXTERNAL:00000014 | Function | SetFilePointer
EXTERNAL:00000015 | Function | GetFileSize
EXTERNAL:00000016 | Function | SetEndOfFile
EXTERNAL:00000017 | Function | GetSystemInfo
EXTERNAL:00000018 | Function | LoadLibraryW
EXTERNAL:00000019 | Function | LoadLibraryA
EXTERNAL:0000001a | Function | GetProcAddress
EXTERNAL:0000001b | Function | FreeLibrary
EXTERNAL:0000001c | Function | FormatMessageW
EXTERNAL:0000001d | Function | DeleteFileW
EXTERNAL:0000001e | Function | MoveFileW
EXTERNAL:0000001f | Function | CreateFileW
EXTERNAL:00000020 | Function | GetFileAttributesW
EXTERNAL:00000021 | Function | CreateDirectoryW
EXTERNAL:00000022 | Function | RemoveDirectoryW
EXTERNAL:00000023 | Function | SetCurrentDirectoryW
EXTERNAL:00000024 | Function | GetCurrentDirectoryW
EXTERNAL:00000025 | Function | GetFullPathNameW
EXTERNAL:00000026 | Function | GetConsoleOutputCP
EXTERNAL:00000027 | Function | GetOEMCP
EXTERNAL:00000028 | Function | GetProcessHeap
EXTERNAL:00000029 | Function | HeapAlloc
EXTERNAL:0000002a | Function | HeapFree
EXTERNAL:0000002b | Function | TlsAlloc
EXTERNAL:0000002c | Function | TlsSetValue
EXTERNAL:0000002d | Function | CreateThread
EXTERNAL:0000002e | Function | ExitThread
EXTERNAL:0000002f | Function | LocalAlloc
EXTERNAL:00000030 | Function | LocalFree
EXTERNAL:00000031 | Function | Sleep
EXTERNAL:00000032 | Function | SuspendThread
